no,text,polarity
0,@$$@ Gerakan Nasional Demokrat Lawan Corona Ketum DPP Partai Demokrat Keluarkan Surat Instruksi https t co wSniDJIyZD lewat,Neutral
1,RT BREAKINGNEWS Jokowi Resmi Tiadakan UN 2020 Dampak Wabah Corona https t co NM1yvTdesA,Neutral
2,RT Dear Pak ini saran mumpung di Bali tanggal 25 Maret ini Nyepi yuk sekalian seluruh Indonesia diajak ikut Nyepi se,Positive
3,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
4,RT Melakukan eksperimen dengan menenggak cairan pembersih yang mengandung chloroquine untuk mencegah terkena virus coron,Negative
5,RT Anggota dpr dites corona malah positif korupsi,Negative
6,Gue denger berita berita kematian karena corona jadi banjir begini ajg,Negative
7,RT Virus corona akan musnah Kemudian datanglah ramadhan dengan segala kebaikan di dalamnya dengan izin Allah Amiin,Positive
8,RT Video ajakan menangkal virus corona ini lucu dan mendidik dan juga penuh sindiran sisi lain dari kehidupan umat Hindu,Neutral
9,Gagal sempro minggu ini gagal penelitian awal April Semoga wabah corona segera berakhir,Neutral
10,RT yang paling berhak dapat rapid test kit corona berdasarkan urutan prioritas 1 Tenaga medis 2 Keluarga tenaga medis 3 K,Positive
11,RT Kemampuan memanipulasi yang dimiliki penguasa kini diuji kembali Dahulu manipulasi data pilpres kini data virus corona pu,Negative
12,Mari Tekan Penyebaran Virus Corona polrestabandung https t co FiWI6jkxcA,Neutral
13,Pemkot Surabaya Buka Peta Sebaran Virus Corona https t co lERecdUnbg,Neutral
14,RT IDI menilai masyarakat yang termasuk orang dalam pemantauan ODP lebih prioritas dites ketimbang anggota DPR kumparanNews,Positive
15,SABAR DAN SHOLAT Tetaplah Tenang Bismillah Di tengah kabar berita Wabah Virus Covid 19 Corona cov d19 corona https t co kh4yxRft3X,Positive
16,RT Bagaimana membantu masyarakat bawah ditengah wabah Corona Ngomongin yg beginian gue lebih suka drpd bedebat di Tv dgn L,Negative
